Name,AMAZON.COM,AMAZON.COM - TARGET PRICE MEAN,AMAZON.COM - TURNOVER BY VOLUME,AMAZON.COM - TARGET PRICE MEAN2,AMAZON.COM - TURNOVER BY VOLUME3,bid ask,AMAZON.COM - NO. TARGET PRICE
8/8/16,766.5601,-0.050142003,-0.041799875,807.026,1986.3,-1.31759E-05,39
9/8/16,768.3101,-0.047973547,-0.039612375,807.026,1876.1,-0.000286421,39
10/8/16,768.5601,-0.047663768,-0.039299875,807.026,1604.3,-0.000234516,39
11/8/16,771.24,-0.044343057,-0.03595,807.026,2019.7,-0.000401955,39
12/8/16,772.5601,-0.042707298,-0.034299875,807.026,1563.3,-1.30736E-05,39
15/8/16,768.49,-0.04775063,-0.0393875,807.026,2118.5,-1.30127E-05,39
16/8/16,764.04,-0.053264703,-0.04495,807.026,1604.6,-0.000274855,39
17/8/16,764.6299,-0.052533747,-0.044212625,807.026,1891.1,-0.000379568,39
18/8/16,764.46,-0.121646542,-0.126331429,870.333,1458.8,-0.000287856,39
19/8/16,757.3101,-0.129861674,-0.134502743,870.333,2343.2,-0.000237649,39
22/8/16,759.48,-0.12736849,-0.132022857,870.333,1679.3,-0.000118648,39
23/8/16,762.45,-0.123956003,-0.128628571,870.333,1524.1,-2.63631E-05,39
24/8/16,757.25,-0.129930728,-0.134571429,870.333,1744.1,-0.00039617,39
25/8/16,759.22,-0.127667226,-0.13232,870.333,1623,-1.31685E-05,39
26/8/16,769,-0.116430148,-0.121142857,870.333,2776.8,-0.000520019,39
29/8/16,771.29,-0.113798971,-0.118525714,870.333,2198.6,-0.00019435,39
30/8/16,767.5801,-0.118061593,-0.1227656,870.333,1709.2,-1.3028E-05,39
31/8/16,769.1599,-0.116246425,-0.120960114,870.333,1633.8,-0.000272963,39
1/9/16,770.6201,-0.114568677,-0.119291314,870.333,1792.3,-0.000194771,39
2/9/16,772.4399,-0.112477753,-0.117211543,870.333,2181.8,-0.000181503,39
5/9/16,772.4399,-0.112477753,-0.117211543,870.333,0,0,39
6/9/16,788.8701,-0.093599691,-0.098434171,870.333,3719.8,-0.000177344,39
7/9/16,784.48,-0.098643852,-0.103451429,870.333,2424.6,-0.000803207,39
8/9/16,784.0601,-0.099126311,-0.103931314,870.333,2030.5,-0.000306162,39
9/9/16,760.1399,-0.126610274,-0.131268686,870.333,4257.3,-7.90644E-05,39
12/9/16,771.49,-0.113569174,-0.118297143,870.333,3124.7,-0.000324061,39
13/9/16,761.01,-0.125610542,-0.130274286,870.333,3117.2,-0.000131555,39
14/9/16,761.0901,-0.125518508,-0.130182743,870.333,2531.8,-0.00014468,39
15/9/16,769.6899,-0.115637463,-0.1203544,870.333,3043.5,-0.000285829,39
16/9/16,778.52,-0.105491806,-0.110262857,870.333,5499.2,-0.000115744,39
19/9/16,775.1001,-0.109421222,-0.114171314,870.333,2297.2,-3.87062E-05,39
20/9/16,780.22,-0.103538531,-0.10832,870.333,1937.2,-0.000269027,39
21/9/16,789.74,-0.092600189,-0.09744,870.333,2718.6,-0.000354614,39
22/9/16,804.7,-0.075411366,-0.080342857,870.333,4078.9,-0.000198871,39
23/9/16,805.75,-0.074204931,-0.079142857,870.333,2353.5,-0.000149189,39
26/9/16,799.1599,-0.08177686,-0.0866744,870.333,2651.4,-0.000312829,39
27/9/16,816.1101,-0.062301326,-0.067302743,870.333,3819.6,-0.00012241,39
28/9/16,828.72,-0.047812734,-0.052891429,870.333,4422.1,-0.000144924,39
29/9/16,829.05,-0.047433569,-0.052514286,870.333,4922.2,-1.20621E-05,39
30/9/16,837.3101,-0.037942833,-0.043074171,870.333,4430.6,-0.000214903,39
3/10/16,836.74,-0.03859787,-0.043725714,870.333,2769.4,-0.000298761,39
4/10/16,834.03,-0.041711621,-0.046822857,870.333,2950.3,-0.000203719,39
5/10/16,844.3601,-0.029842486,-0.035017029,870.333,3469.1,-0.000142003,39
6/10/16,841.6599,-0.032944976,-0.038102971,870.333,2684,-2.37614E-05,39
7/10/16,839.4299,-0.035507214,-0.040651543,870.333,2426.2,-0.000404972,39
