Date,amazon,facebook,apple,netflix,google,s_p
13/2/13,269.470001,27.91,66.715714,26.610001,391.821808,152.149994
14/2/13,269.23999,28.5,66.655716,26.771429,394.304291,152.289993
15/2/13,265.089996,28.32,65.737144,27.072857,396.841827,152.110001
19/2/13,269.75,28.93,65.71286,28.064285,403.828827,153.25
20/2/13,266.410004,28.459999,64.121429,26.731428,396.626617,151.339996
21/2/13,265.940002,27.280001,63.722858,26.735714,398.163177,150.419998
22/2/13,265.420013,27.129999,64.401428,25.694286,400.255249,151.889999
25/2/13,259.869995,27.27,63.257141,25.617144,395.780792,149
26/2/13,259.359985,27.389999,64.138573,26.298571,395.460449,150.020004
27/2/13,263.25,26.870001,63.509998,26.331429,400.290283,151.910004
28/2/13,264.269989,27.25,63.057144,26.868572,401.001007,151.610001
1/3/13,265.73999,27.780001,61.495716,27.052856,403.498505,152.110001
4/3/13,273.109985,27.719999,60.007141,25.887142,411.161163,152.919998
5/3/13,275.589996,27.52,61.591427,25.961428,419.719727,154.289993
6/3/13,273.790009,27.450001,60.808571,26.134285,416.10611,154.5
7/3/13,273.880005,28.58,61.511429,25.937143,416.716705,154.779999
8/3/13,274.190002,27.959999,61.674286,26.385714,416.176178,155.440002
11/3/13,271.23999,28.139999,62.552856,25.778572,417.82782,156.029999
12/3/13,274.130005,27.83,61.204285,26.015715,414.219208,155.679993
13/3/13,275.100006,27.08,61.192856,27.48,413.068054,155.899994
14/3/13,265.73999,27.040001,61.785713,26.91,411.181183,156.729996
15/3/13,261.820007,26.65,63.380001,26.407143,407.557556,155.830002
18/3/13,257.890015,26.49,65.102859,26.512857,404.299286,154.970001
19/3/13,256.410004,26.549999,64.927139,25.91,406.066071,154.610001
20/3/13,257.279999,25.860001,64.582855,26.15,407.762756,155.690002
21/3/13,253.389999,25.74,64.675713,25.998571,406.036041,154.360001
22/3/13,257.75,25.73,65.987144,25.9,405.560547,155.600006
25/3/13,256.019989,25.129999,66.225716,25.827143,405.22522,154.949997
26/3/13,260.309998,25.209999,65.877144,27.23,406.616608,156.190002
27/3/13,265.299988,26.09,64.582855,27.177143,401.73172,156.190002
28/3/13,266.48999,25.58,63.237144,27.040001,397.492493,156.669998
