CEO_TARGET,Date Announced,cik,surname,year_ann
f. bruce giesbrecht,19/11/04,905895,giesbrecht,2004
michael r. gilbert,7/7/97,353153,gilbert,1997
john e. giles,23/7/12,887637,giles,2012
john giuliani,11/9/14,1080034,giuliani,2014
dan w. gladney,11/11/05,64578,gladney,2005
alfred r. glancy,5/10/99,837579,glancy,1999
richard j. glasier,3/11/04,895385,glasier,2004
eugene l. goda,4/11/99,916354,goda,1999
david goldberg,11/11/09,814055,goldberg,2009
howard goldberg,9/2/99,796912,goldberg,1999
michael c. goldberg,18/1/99,722826,goldberg,1999
c. lourenco goncalves,6/2/13,1362491,goncalves,2013
alexander h. good,15/5/01,756502,good,2001
charles e. gooley,15/6/99,849210,gooley,1999
stephen p. gott,20/4/01,920038,gott,2001
david f. gow,17/9/01,1089909,gow,2001
w. thomas grant,8/3/99,816151,grant,1999
terence m. graunke,19/2/98,1006638,graunke,1998
l. keith graves,14/2/07,917524,graves,2007
robert j. greczyn,25/9/14,1168197,greczyn,2014
judson c. green,1/10/07,834208,green,2007
theodore s. green,2/4/12,216324,green,2012
stanley greenman,24/4/00,43837,greenman,2000
stephen h. greenspan,4/3/99,1004526,greenspan,1999
michael gregoire,9/2/12,1134203,gregoire,2012
michael grey,8/7/08,1125603,grey,2008
michael w. grieves,20/1/00,926849,grieves,2000
liam k. griffin,17/12/01,4127,griffin,2001
scott w. griffith,2/1/13,1131457,griffith,2013
jeffrey w. griffiths,18/4/05,1057746,griffiths,2005
murray h. gross,7/8/12,844789,gross,2012
david p. gruber,17/5/99,108703,gruber,1999
harry gruber,7/2/00,1011418,gruber,2000
heinrich gugger,19/9/05,1057217,gugger,2005
frank guidone,18/6/14,778734,guidone,2014
david t. gulian,15/12/10,1315320,gulian,2010
david r. guyer,21/8/05,1115285,guyer,2005
peter gyenes,19/11/98,1008129,gyenes,1998
marvin i. haas,22/4/99,20041,haas,1999
kirk s. hachigian,21/5/12,1141982,hachigian,2012
robert m. haddock,3/4/06,852807,haddock,2006
richard m. haddrill,9/3/99,875459,haddrill,1999
fred d. hafer,8/8/00,40779,hafer,2000
gregory r. hahn,13/9/10,749290,hahn,2010
ralph f. hake,17/7/05,63541,hake,2005
roger w. hale,28/2/00,861388,hale,2000
stephen g. hanks,28/5/07,906469,hanks,2007
s. scott harding,5/7/06,801622,harding,2006
william g. hargett,7/1/07,1015293,hargett,2007
james a. harrer,28/2/00,940986,harrer,2000
james a. harrer,9/10/02,911577,harrer,2002
timothy p. harrington,24/10/00,1094323,harrington,2000
charles e. harris,8/9/09,1120105,harris,2009
donald a. harris,20/4/06,1108487,harris,2006
phillip a. harris,14/5/07,1111721,harris,2007
d. frank harrison,24/1/08,1328650,harrison,2008
alex p. hart,13/2/07,1041403,hart,2007
patti s. hart,21/3/05,774695,hart,2005
jack r. harter,11/6/97,920760,harter,1997
paul j. hastings,13/6/01,913056,hastings,2001
richard j. heckmann,25/4/07,6720,heckmann,2007
george k. heinrichs,29/1/06,924505,heinrichs,2006
kevin hell,2/6/10,1342960,hell,2010
david r. helwig,18/3/07,1276827,helwig,2007
james r. henderson,1/3/96,85149,henderson,1996
kenneth e. hendrickson,8/5/00,920636,hendrickson,2000
geraldine a. henwood,31/3/98,884252,henwood,1998
william j. herman,15/10/97,880594,herman,1997
joseph l. herring,3/11/14,1023131,herring,2014
richard s. hill,14/12/11,836106,hill,2011
frank h. hilsabeck,18/12/98,320446,hilsabeck,1998
leo j. hindery,24/6/98,96903,hindery,1998
thomas g. hixon,15/12/97,889885,hixon,1997
woodson hobbs,16/11/05,1020716,hobbs,2005
bevil j. hogg,17/6/96,33837,hogg,1996
t. curtis holmes,23/10/06,916704,holmes,2006
victoria m. holt,24/10/12,77597,holt,2012
raymond j. de hont,22/4/13,65201,hont,2013
laurence r. hootnick,12/10/98,795090,hootnick,1998
russell c. horowitz,26/7/00,1029553,horowitz,2000
mark housley,28/12/99,805574,housley,1999
jim h. houtz,10/5/96,354888,houtz,1996
barry s. howe,21/5/99,929807,howe,1999
roger f. hruby,20/6/06,949859,hruby,2006
e. kevin hrusovsky,8/9/11,1014672,hrusovsky,2011
ming hsieh,30/8/10,1289434,hsieh,2010
george c. huang,16/4/98,1013920,huang,1998
van hubbard,4/9/97,876968,hubbard,1997
david r. huber,17/10/06,1060490,huber,2006
thomas g. hudson,18/1/05,701319,hudson,2005
william j. hudson,23/11/98,6164,hudson,1998
carl w. hull,30/4/12,820237,hull,2012
